t,ax,ay,az,gx,gy,gz,mx,my,mz,label
1096563.0,-0.63,0.46,9.72,-0.03,0.01,-0.02,-31.48,33.13,-33.13,T
1096576.0,-0.58,0.48,9.69,-0.05,0.05,-0.02,-32.98,34.03,-35.23,T
1096589.0,-0.68,0.49,9.74,0.0,-0.05,-0.02,-31.03,34.63,-35.83,T
1096602.0,-0.67,0.5,9.66,0.01,0.01,0.01,-33.28,34.48,-34.93,T
1096615.0,-0.71,0.52,9.7,0.02,-0.01,0.01,-32.38,35.08,-36.58,T
1096628.0,-0.68,0.49,9.72,-0.02,0.01,-0.05,-31.33,33.73,-36.43,T
1096641.0,-0.64,0.48,9.88,-0.04,-0.01,0.01,-31.93,33.88,-37.03,T
1096654.0,-0.64,0.45,9.8,-0.03,-0.02,-0.01,-31.93,33.88,-35.53,T
1096666.0,-0.66,0.45,9.86,0.02,-0.04,0.04,-31.03,35.38,-35.83,T
1096680.0,-0.63,0.52,9.84,-0.02,0.02,-0.06,-32.98,34.48,-35.23,T
1096693.0,-0.69,0.52,9.78,0.01,0.04,0.03,-31.33,31.48,-34.18,T
1096706.0,-0.67,0.58,9.75,-0.01,-0.0,-0.04,-31.48,33.88,-34.33,T
1096719.0,-0.68,0.48,9.73,0.0,0.04,0.04,-31.63,33.28,-35.23,T
1096732.0,-0.66,0.5,9.69,0.01,0.0,0.02,-31.63,33.28,-35.23,T
1096745.0,-0.67,0.43,9.71,0.03,-0.01,0.02,-32.38,33.88,-35.53,T
1096758.0,-0.68,0.49,9.73,-0.04,0.04,-0.01,-31.33,32.98,-35.23,T
1096771.0,-0.64,0.52,9.74,0.0,-0.01,-0.04,-31.33,32.98,-35.23,T
1096784.0,-0.62,0.51,9.67,-0.01,-0.01,-0.04,-31.63,32.23,-35.68,T
1096797.0,-0.64,0.46,9.73,0.03,-0.01,0.03,-31.48,33.88,-34.78,T
1096810.0,-0.65,0.5,9.73,0.02,-0.02,0.03,-31.48,33.88,-34.78,T
1096823.0,-0.62,0.48,9.73,-0.0,0.04,-0.03,-33.58,33.88,-35.53,T
1096836.0,-0.69,0.5,9.68,0.0,-0.01,0.02,-30.73,35.08,-35.08,T
1096849.0,-0.67,0.46,9.65,0.05,0.02,0.05,-31.03,33.88,-34.78,T
1096862.0,-0.71,0.47,9.65,-0.01,0.0,0.08,-31.03,33.88,-34.78,T
1096875.0,-0.66,0.47,9.68,0.01,-0.01,0.02,-31.63,35.68,-34.18,T
1096888.0,-0.7,0.53,9.65,-0.0,0.01,0.0,-31.48,32.83,-35.83,T
1096901.0,-0.68,0.49,9.66,-0.02,0.0,0.03,-31.48,32.83,-35.83,T
1096914.0,-0.68,0.44,9.7,0.0,-0.04,-0.0,-32.53,34.48,-34.93,T
1096927.0,-0.7,0.56,9.68,0.02,0.02,-0.01,-32.68,33.58,-36.58,T
1096940.0,-0.61,0.55,9.63,0.01,-0.0,0.0,-31.93,34.63,-35.53,T
1096953.0,-0.66,0.49,9.67,0.01,-0.05,0.0,-31.93,34.63,-35.53,T
1096966.0,-0.69,0.47,9.69,-0.02,0.05,0.01,-31.33,33.73,-35.68,T
1096979.0,-0.81,0.38,9.63,-0.04,0.0,-0.0,-32.38,35.38,-35.83,T
1096992.0,-0.68,0.49,9.69,0.02,0.0,0.06,-32.38,35.38,-35.83,T
1097005.0,-0.74,0.51,9.74,-0.02,0.02,-0.05,-30.28,34.63,-35.08,T
1097018.0,-0.65,0.52,9.74,0.01,0.02,-0.02,-31.33,34.48,-36.13,T
1097031.0,-0.63,0.43,9.78,-0.02,0.01,0.02,-31.63,33.28,-35.68,T
1097044.0,-0.6,0.46,9.78,0.02,-0.04,0.01,-29.98,33.73,-34.93,T
1097057.0,-0.64,0.49,9.76,0.01,-0.02,0.02,-30.73,35.08,-36.28,T
1097070.0,-0.66,0.57,9.74,0.04,0.04,-0.0,-31.33,33.28,-34.48,T
1097083.0,-0.64,0.51,9.75,0.03,-0.02,-0.02,-31.93,33.13,-35.08,T
1097096.0,-0.68,0.45,9.66,-0.01,0.05,-0.03,-31.48,34.33,-35.83,T
1097109.0,-0.65,0.51,9.65,-0.02,0.03,0.0,-31.93,33.13,-34.78,T
1097122.0,-0.69,0.55,9.6,0.05,-0.01,0.01,-32.53,34.48,-36.43,T
1097135.0,-0.73,0.57,9.63,0.03,-0.01,0.0,-32.53,33.73,-35.23,T
1097148.0,-0.7,0.49,9.59,-0.04,0.03,-0.03,-33.58,34.63,-35.08,T
1097161.0,-0.67,0.5,9.62,0.01,-0.03,-0.03,-32.53,33.28,-34.48,T
1097174.0,-0.67,0.43,9.6,0.03,-0.06,0.0,-31.33,33.28,-36.13,T
1097187.0,-0.68,0.48,9.67,0.03,-0.02,0.05,-32.98,32.98,-35.68,T
1097200.0,-0.67,0.54,9.57,0.01,-0.03,-0.0,-29.98,33.73,-35.68,T
1097213.0,-0.69,0.56,9.6,-0.0,-0.0,0.02,-32.98,33.73,-36.13,T
1097226.0,-0.67,0.5,9.66,-0.01,-0.03,-0.02,-31.93,31.93,-35.83,T
1097239.0,-0.65,0.36,9.7,0.02,0.01,-0.0,-30.28,34.63,-34.78,T
1097251.0,-0.64,0.48,9.66,-0.03,0.01,0.03,-30.28,34.63,-34.78,T
1097265.0,-0.64,0.43,9.66,0.03,-0.03,-0.02,-30.43,33.73,-36.43,T
1097278.0,-0.64,0.43,9.65,0.03,-0.03,0.04,-31.33,32.98,-35.23,T
1097291.0,-0.69,0.45,9.71,0.04,-0.04,-0.02,-31.33,32.98,-35.23,T
1097304.0,-0.59,0.42,9.72,-0.02,-0.01,-0.02,-32.08,33.73,-35.23,T
1097317.0,-0.66,0.44,9.72,0.02,-0.03,0.05,-31.63,34.03,-36.13,T
1097330.0,-0.57,0.48,9.73,0.0,-0.04,0.05,-32.98,34.03,-36.88,T
1097343.0,-0.68,0.57,9.74,-0.0,-0.01,0.04,-32.98,34.03,-36.88,T
1097356.0,-0.59,0.63,9.73,-0.0,0.01,-0.01,-31.93,33.58,-35.08,T
1097369.0,-0.69,0.63,9.7,-0.01,-0.02,-0.0,-32.08,35.68,-34.93,T
1097382.0,-0.65,0.56,9.74,0.03,-0.0,0.02,-32.08,35.68,-34.93,T
1097395.0,-0.63,0.46,9.75,0.01,-0.05,0.06,-31.33,35.98,-36.43,T
1097408.0,-0.66,0.47,9.83,0.03,-0.0,0.04,-32.08,34.48,-36.13,T
1097421.0,-0.63,0.57,9.72,0.01,0.03,0.04,-32.38,34.33,-35.83,T
1097434.0,-0.63,0.54,9.74,-0.01,0.02,-0.01,-32.38,34.33,-35.83,T
1097447.0,-0.66,0.54,9.73,-0.0,-0.01,-0.03,-32.08,34.48,-36.13,T
1097459.0,-0.6,0.47,9.76,0.03,-0.0,0.01,-32.68,35.83,-35.08,T
1097473.0,-0.58,0.45,9.76,-0.02,0.05,0.03,-32.68,35.83,-35.08,T
1097486.0,-0.64,0.57,9.71,-0.0,0.03,0.01,-31.63,35.23,-37.18,T
1097499.0,-0.59,0.57,9.74,0.01,0.01,0.03,-30.88,32.98,-35.23,T
1097512.0,-0.61,0.59,9.7,0.04,-0.03,0.03,-32.38,33.88,-35.83,T
1097525.0,-0.6,0.58,9.73,-0.0,-0.0,0.02,-33.28,34.93,-34.93,T
1097538.0,-0.62,0.57,9.69,-0.01,0.02,0.0,-31.63,33.73,-36.88,T
1097551.0,-0.65,0.49,9.71,0.01,-0.01,-0.06,-31.93,34.33,-35.53,T
1097564.0,-0.65,0.48,9.74,0.02,0.02,0.0,-33.73,34.48,-35.68,T
1097577.0,-0.68,0.56,9.64,-0.02,0.01,0.0,-31.03,33.88,-37.03,T
1097590.0,-0.63,0.55,9.62,0.05,-0.04,0.05,-30.73,33.88,-34.78,T
1097603.0,-0.69,0.53,9.69,0.02,-0.04,-0.04,-30.43,34.93,-35.68,T
