t,ax,ay,az,gx,gy,gz,mx,my,mz,label
837590.0,0.28,0.31,9.8,0.03,0.01,0.01,-35.23,31.93,-33.13,U
837603.0,0.24,0.36,9.78,-0.04,-0.0,0.06,-35.23,31.18,-33.13,U
837616.0,0.3,0.33,9.83,-0.06,-0.0,-0.04,-33.88,31.63,-33.58,U
837629.0,0.25,0.37,9.83,0.0,-0.02,-0.0,-35.83,32.98,-34.18,U
837642.0,0.34,0.39,9.86,0.05,-0.02,0.05,-35.83,32.98,-34.18,U
837655.0,0.33,0.43,9.9,0.01,0.01,-0.01,-33.88,33.88,-34.78,U
837667.0,0.26,0.43,9.82,0.02,-0.01,0.06,-35.83,31.48,-34.18,U
837681.0,0.31,0.39,9.82,-0.02,0.03,0.02,-35.83,31.48,-34.18,U
837694.0,0.33,0.38,9.76,-0.01,0.02,-0.03,-35.23,32.38,-34.78,U
837707.0,0.36,0.39,9.76,0.0,0.04,-0.02,-35.23,31.18,-35.53,U
837720.0,0.29,0.41,9.72,0.04,-0.01,0.01,-34.78,31.63,-34.78,U
837733.0,0.34,0.45,9.71,0.03,-0.02,0.02,-34.63,32.23,-34.48,U
837746.0,0.3,0.51,9.7,0.04,-0.0,-0.02,-32.38,31.63,-33.58,U
837759.0,0.23,0.48,9.68,0.02,-0.0,-0.01,-35.83,32.98,-34.48,U
837772.0,0.34,0.39,9.63,0.04,-0.02,0.05,-33.88,33.58,-35.53,U
837785.0,0.31,0.39,9.68,0.05,-0.02,0.05,-34.33,31.18,-33.13,U
837798.0,0.25,0.4,9.68,-0.02,0.03,-0.01,-36.43,31.18,-35.53,U
837811.0,0.35,0.4,9.67,-0.02,-0.0,-0.04,-33.88,33.13,-35.08,U
837824.0,0.33,0.39,9.7,-0.0,0.02,0.02,-34.78,31.93,-33.88,U
837837.0,0.31,0.36,9.65,0.01,-0.01,0.04,-34.63,32.53,-33.73,U
837850.0,0.3,0.42,9.68,0.03,-0.02,0.03,-32.53,31.78,-33.73,U
837863.0,0.28,0.42,9.62,0.03,-0.01,-0.0,-33.88,32.38,-35.08,U
837875.0,0.31,0.44,9.63,0.01,-0.01,-0.01,-34.63,32.23,-35.23,U
837889.0,0.3,0.44,9.62,-0.01,0.01,0.03,-36.43,31.18,-35.08,U
837902.0,0.34,0.41,9.7,-0.04,0.01,-0.01,-33.88,31.63,-33.58,U
837915.0,0.35,0.31,9.65,-0.0,-0.04,0.02,-35.83,30.73,-35.68,U
837928.0,0.26,0.38,9.68,-0.02,0.02,-0.04,-34.78,31.93,-33.88,U
837941.0,0.32,0.36,9.68,-0.03,0.02,-0.03,-34.78,31.93,-33.88,U
837954.0,0.27,0.36,9.74,-0.02,0.02,0.0,-34.78,30.88,-34.78,U
837967.0,0.27,0.42,9.72,-0.01,-0.03,0.02,-34.78,31.63,-33.88,U
837980.0,0.29,0.45,9.64,0.03,-0.03,0.0,-34.78,31.63,-33.88,U
837993.0,0.23,0.43,9.71,0.01,0.0,0.04,-35.83,31.03,-32.98,U
838006.0,0.29,0.39,9.75,-0.03,0.01,0.0,-34.18,31.03,-32.98,U
838019.0,0.26,0.42,9.79,-0.02,0.01,-0.02,-34.78,31.63,-34.78,U
838032.0,0.28,0.44,9.72,-0.03,-0.0,-0.0,-34.78,31.63,-34.78,U
838045.0,0.3,0.44,9.8,0.06,0.03,0.02,-34.93,32.53,-34.48,U
838058.0,0.28,0.35,9.82,0.03,-0.0,0.02,-35.23,32.38,-34.33,U
838071.0,0.31,0.34,9.83,0.02,-0.01,0.04,-35.23,32.38,-34.33,U
838083.0,0.37,0.37,9.76,0.0,0.02,-0.06,-34.93,31.78,-34.18,U
838097.0,0.34,0.4,9.76,0.0,0.01,0.03,-35.83,31.78,-34.18,U
838110.0,0.38,0.45,9.77,-0.0,0.01,0.06,-34.93,32.98,-34.18,U
838123.0,0.31,0.42,9.72,-0.01,-0.02,-0.01,-34.18,31.03,-33.73,U
838136.0,0.38,0.37,9.67,-0.03,0.03,0.0,-34.63,31.48,-33.43,U
838149.0,0.31,0.38,9.74,-0.03,0.03,-0.02,-33.73,32.23,-35.23,U
838162.0,0.36,0.39,9.69,-0.0,0.04,-0.02,-33.73,32.23,-35.23,U
838175.0,0.39,0.35,9.65,0.03,-0.01,0.04,-33.88,30.88,-34.33,U
838188.0,0.3,0.41,9.63,-0.0,0.02,0.03,-33.88,31.63,-33.13,U
838201.0,0.29,0.39,9.57,-0.0,0.0,-0.03,-33.88,31.63,-33.13,U
838214.0,0.3,0.38,9.65,-0.04,0.03,-0.03,-35.38,33.73,-33.73,U
838227.0,0.29,0.42,9.62,-0.03,0.01,-0.01,-35.53,32.38,-33.88,U
838240.0,0.27,0.37,9.63,-0.04,0.01,-0.01,-35.23,33.58,-34.78,U
838253.0,0.31,0.37,9.65,-0.01,0.01,0.02,-34.63,30.73,-33.43,U
838266.0,0.24,0.43,9.66,-0.01,0.02,0.04,-34.78,31.93,-32.83,U
838279.0,0.3,0.41,9.72,-0.04,0.04,0.01,-33.73,31.78,-33.43,U
838291.0,0.19,0.43,9.76,-0.05,0.01,0.0,-34.63,30.28,-33.43,U
838305.0,0.27,0.42,9.72,-0.0,-0.02,0.01,-35.98,31.63,-34.33,U
838318.0,0.24,0.42,9.68,0.03,-0.02,0.05,-34.63,31.78,-34.93,U
838331.0,0.23,0.35,9.71,0.02,-0.03,0.02,-35.23,31.18,-34.78,U
838344.0,0.26,0.37,9.8,-0.02,0.0,0.01,-35.38,31.48,-32.98,U
838357.0,0.3,0.35,9.8,-0.04,0.03,-0.03,-34.93,32.98,-33.43,U
838370.0,0.29,0.37,9.81,-0.02,-0.01,-0.05,-34.63,32.53,-34.18,U
838383.0,0.27,0.34,9.76,0.03,-0.0,0.01,-34.63,31.78,-33.43,U
838396.0,0.21,0.41,9.73,0.04,-0.02,0.02,-35.53,31.18,-35.08,U
838409.0,0.22,0.4,9.79,0.0,0.02,-0.01,-34.63,31.78,-34.48,U
838422.0,0.3,0.42,9.76,0.03,-0.0,0.05,-35.53,32.38,-34.33,U
838435.0,0.24,0.35,9.74,0.04,0.01,0.06,-34.18,31.03,-35.23,U
838448.0,0.24,0.41,9.74,0.04,-0.02,0.05,-35.53,30.88,-34.33,U
838461.0,0.2,0.34,9.76,0.0,0.03,-0.02,-35.53,32.38,-33.88,U
838474.0,0.18,0.37,9.7,-0.03,0.03,-0.02,-34.78,30.43,-34.33,U
838487.0,0.23,0.36,9.73,0.0,0.03,0.02,-35.38,31.03,-33.73,U
838500.0,0.22,0.41,9.69,0.01,0.04,-0.03,-34.33,32.38,-34.33,U
838513.0,0.3,0.35,9.71,0.04,0.04,0.02,-35.38,32.98,-34.93,U
838526.0,0.26,0.27,9.67,0.03,0.02,0.03,-34.63,34.03,-34.18,U
838539.0,0.19,0.35,9.69,0.04,-0.01,-0.0,-35.38,31.48,-34.93,U
838552.0,0.23,0.38,9.64,0.03,0.04,-0.06,-35.38,31.48,-34.93,U
838565.0,0.24,0.35,9.63,-0.0,0.03,0.02,-35.98,31.63,-34.33,U
838578.0,0.29,0.36,9.66,0.03,0.01,0.05,-35.23,32.38,-35.08,U
838591.0,0.24,0.46,9.62,-0.05,-0.03,0.02,-35.23,32.38,-35.08,U
838604.0,0.17,0.48,9.61,-0.05,0.04,-0.0,-34.63,32.23,-32.98,U
838617.0,0.23,0.47,9.64,-0.02,0.03,-0.0,-34.63,32.98,-33.43,U
838630.0,0.24,0.49,9.63,-0.0,-0.0,-0.0,-34.18,32.23,-34.48,U
838643.0,0.26,0.39,9.62,-0.0,-0.01,0.03,-34.18,32.23,-34.48,U
838656.0,0.26,0.42,9.69,0.02,-0.01,0.05,-35.38,31.48,-33.73,U
838669.0,0.2,0.37,9.72,-0.03,-0.0,-0.01,-35.38,31.78,-34.93,U
838682.0,0.22,0.4,9.67,-0.03,-0.01,-0.03,-35.38,31.78,-34.93,U
838695.0,0.22,0.38,9.73,0.01,-0.03,-0.03,-34.33,32.38,-33.88,U
838708.0,0.21,0.4,9.79,-0.04,0.0,-0.01,-34.93,31.48,-34.48,U
838721.0,0.28,0.34,9.77,-0.0,-0.02,-0.04,-34.93,31.48,-34.48,U
838734.0,0.27,0.36,9.77,0.05,0.03,0.01,-34.33,32.83,-33.58,U
838747.0,0.31,0.34,9.8,-0.02,-0.01,0.04,-33.58,32.38,-35.08,U
838760.0,0.25,0.4,9.74,-0.01,0.0,0.01,-34.18,32.98,-34.18,U
838773.0,0.2,0.42,9.78,-0.01,-0.01,-0.01,-33.58,31.93,-33.88,U
838786.0,0.24,0.38,9.75,0.01,-0.03,0.06,-34.33,30.13,-34.33,U
838799.0,0.23,0.37,9.7,-0.0,-0.01,-0.02,-32.98,32.98,-34.48,U
838812.0,0.26,0.43,9.62,-0.01,0.03,-0.01,-35.53,32.83,-33.88,U
838825.0,0.18,0.42,9.7,-0.01,0.03,-0.02,-35.23,31.63,-35.53,U
838838.0,0.26,0.44,9.64,0.01,0.0,-0.02,-34.33,32.38,-33.58,U
838851.0,0.25,0.41,9.72,0.03,-0.02,-0.0,-35.38,33.28,-34.93,U
838864.0,0.26,0.34,9.75,0.03,-0.01,0.02,-35.38,33.73,-34.18,U
838876.0,0.28,0.32,9.71,0.03,-0.02,0.04,-33.73,32.98,-32.98,U
838890.0,0.23,0.4,9.68,-0.0,0.03,-0.04,-33.58,31.63,-34.33,U
838903.0,0.23,0.45,9.69,0.03,-0.06,0.0,-35.38,32.98,-34.48,U
838916.0,0.22,0.32,9.69,-0.02,-0.02,-0.02,-34.78,32.83,-34.78,U
838929.0,0.23,0.36,9.69,-0.03,0.0,-0.01,-35.23,31.93,-33.88,U
838942.0,0.2,0.36,9.68,0.01,0.04,0.0,-34.33,33.13,-35.08,U
838955.0,0.23,0.37,9.72,-0.04,0.01,-0.09,-34.78,30.43,-34.78,U
838968.0,0.31,0.41,9.72,0.02,-0.02,0.02,-34.63,34.03,-32.98,U
838981.0,0.27,0.46,9.7,0.03,-0.01,-0.01,-35.38,32.53,-34.18,U
838994.0,0.28,0.36,9.74,-0.01,-0.03,0.05,-34.33,32.38,-35.83,U
839007.0,0.31,0.33,9.74,-0.04,0.0,0.03,-34.93,32.23,-34.18,U
839020.0,0.27,0.28,9.71,-0.02,0.05,-0.05,-34.63,30.73,-34.93,U
839033.0,0.26,0.37,9.71,-0.01,-0.01,0.0,-34.33,31.18,-35.53,U
839046.0,0.25,0.43,9.71,0.02,-0.01,0.01,-31.48,31.93,-33.58,U
839059.0,0.22,0.42,9.72,0.03,-0.07,0.02,-35.98,33.13,-33.58,U
839072.0,0.28,0.4,9.76,-0.03,-0.01,-0.03,-35.98,33.13,-33.58,U
839084.0,0.24,0.35,9.73,-0.01,-0.0,-0.02,-34.93,32.23,-34.48,U
839098.0,0.25,0.41,9.83,0.02,0.02,0.02,-34.33,31.93,-33.13,U
839111.0,0.25,0.38,9.79,0.06,-0.0,-0.01,-34.33,31.93,-33.13,U
839124.0,0.23,0.4,9.74,0.01,-0.03,0.02,-34.18,32.23,-33.73,U
839137.0,0.26,0.41,9.7,-0.03,-0.0,0.02,-34.63,32.53,-34.48,U
839150.0,0.25,0.33,9.8,-0.01,0.01,0.02,-33.28,31.03,-34.48,U
839163.0,0.25,0.3,9.76,-0.0,-0.02,-0.01,-33.28,31.03,-34.48,U
839176.0,0.28,0.38,9.7,0.01,-0.04,0.05,-33.58,32.38,-33.88,U
839189.0,0.29,0.41,9.73,0.05,-0.0,0.01,-34.33,31.63,-34.78,U
839202.0,0.32,0.42,9.66,-0.0,-0.02,0.01,-34.33,31.63,-34.78,U
839215.0,0.27,0.37,9.68,0.0,0.02,-0.02,-34.78,32.38,-33.58,U
839228.0,0.27,0.38,9.72,-0.02,0.02,-0.02,-35.53,31.18,-35.08,U
839241.0,0.31,0.39,9.75,0.02,-0.05,0.04,-35.53,31.18,-35.08,U
839254.0,0.26,0.38,9.73,-0.01,0.01,-0.01,-34.18,31.78,-36.43,U
839267.0,0.3,0.38,9.68,-0.0,0.01,-0.03,-34.78,30.88,-34.78,U
839280.0,0.25,0.44,9.63,0.0,0.0,0.01,-34.63,33.28,-33.73,U
839292.0,0.2,0.45,9.71,-0.02,-0.02,-0.01,-34.63,33.28,-33.73,U
839306.0,0.16,0.38,9.78,0.01,-0.04,0.03,-34.63,31.03,-33.73,U
839319.0,0.22,0.37,9.76,0.03,-0.02,0.03,-35.38,32.53,-35.23,U
839332.0,0.19,0.44,9.79,0.02,-0.05,-0.0,-35.38,32.53,-35.23,U
839345.0,0.27,0.43,9.75,0.01,-0.01,-0.01,-34.78,31.93,-34.33,U
