t,ax,ay,az,gx,gy,gz,mx,my,mz,label
1165827.0,-0.24,0.56,9.67,-0.04,0.02,-0.08,-33.13,32.83,-35.53,C
1165840.0,-0.22,0.52,9.65,0.02,-0.03,0.04,-33.28,32.98,-34.93,C
1165853.0,-0.21,0.53,9.65,0.03,-0.03,0.07,-33.13,32.38,-34.78,C
1165866.0,-0.27,0.55,9.72,-0.0,-0.05,0.08,-32.53,33.73,-34.48,C
1165879.0,-0.21,0.48,9.72,-0.04,0.02,-0.07,-33.13,33.88,-34.78,C
1165892.0,-0.25,0.53,9.7,-0.02,0.02,-0.05,-33.88,34.33,-33.58,C
1165905.0,-0.22,0.55,9.75,-0.01,-0.0,-0.01,-32.98,32.98,-33.43,C
1165917.0,-0.27,0.61,9.74,0.01,0.04,-0.03,-33.13,33.13,-34.33,C
1165931.0,-0.26,0.64,9.75,0.01,-0.03,0.07,-32.98,33.73,-34.93,C
1165944.0,-0.29,0.65,9.73,-0.04,0.03,-0.04,-31.93,33.13,-34.33,C
1165957.0,-0.27,0.58,9.8,-0.06,0.02,0.04,-32.68,32.38,-34.78,C
1165970.0,-0.31,0.54,9.73,-0.04,-0.04,0.05,-32.68,32.38,-34.78,C
1165983.0,-0.29,0.6,9.72,0.01,0.01,0.03,-33.28,32.53,-34.48,C
1165996.0,-0.2,0.6,9.74,-0.02,-0.0,0.0,-33.73,33.73,-34.48,C
1166009.0,-0.23,0.53,9.7,-0.02,0.01,-0.03,-33.73,33.73,-34.48,C
1166022.0,-0.26,0.49,9.65,-0.02,0.03,-0.02,-34.18,33.73,-35.23,C
1166035.0,-0.2,0.59,9.74,-0.03,0.04,-0.04,-32.38,32.83,-34.33,C
1166048.0,-0.18,0.56,9.77,-0.03,0.0,0.04,-31.63,32.98,-34.93,C
1166061.0,-0.12,0.53,9.76,0.05,-0.05,0.03,-31.63,32.98,-34.93,C
1166074.0,-0.13,0.61,9.71,0.01,0.02,0.06,-31.03,32.83,-34.78,C
1166087.0,-0.23,0.59,9.73,0.01,0.0,-0.0,-32.08,31.78,-34.18,C
1166100.0,-0.23,0.62,9.7,-0.06,0.02,0.0,-32.08,31.78,-34.18,C
1166113.0,-0.16,0.61,9.69,-0.02,-0.02,-0.02,-33.58,32.83,-34.33,C
