t,ax,ay,az,gx,gy,gz,mx,my,mz,label
905632.0,0.47,0.95,9.64,0.06,-0.01,0.01,-36.58,28.33,-35.23,D
905645.0,0.5,0.97,9.69,0.06,-0.05,-0.0,-36.58,28.33,-35.23,D
905658.0,0.47,0.98,9.67,0.03,-0.02,0.07,-36.13,29.83,-33.73,D
905671.0,0.45,1.03,9.7,-0.01,0.04,-0.01,-35.98,30.13,-32.83,D
905684.0,0.46,0.98,9.63,-0.01,0.04,0.01,-35.98,30.13,-32.83,D
905697.0,0.51,0.9,9.71,0.0,0.01,-0.04,-37.48,29.08,-32.98,D
905709.0,0.46,0.85,9.73,0.01,0.03,0.01,-36.43,28.93,-33.13,D
905723.0,0.5,0.89,9.75,0.07,0.02,0.07,-36.43,28.93,-33.13,D
905736.0,0.41,0.92,9.76,0.05,-0.01,0.02,-37.48,30.28,-34.18,D
905749.0,0.43,0.97,9.73,0.06,-0.04,0.02,-37.18,28.63,-32.83,D
905762.0,0.51,1.0,9.69,-0.02,0.02,-0.06,-36.88,29.38,-34.78,D
905775.0,0.49,1.04,9.68,0.01,-0.01,0.04,-36.88,29.38,-34.78,D
905788.0,0.47,1.0,9.66,0.02,0.01,0.03,-36.43,28.93,-33.13,D
905801.0,0.5,0.92,9.69,-0.03,0.04,0.0,-36.88,29.38,-34.33,D
905814.0,0.48,0.85,9.68,-0.02,0.06,-0.05,-36.88,29.38,-34.33,D
905827.0,0.42,0.85,9.65,-0.01,0.01,-0.05,-36.58,28.78,-34.18,D
905840.0,0.43,0.87,9.62,0.0,0.0,0.02,-36.58,29.53,-32.53,D
905853.0,0.4,1.01,9.59,0.03,-0.0,0.02,-37.18,28.18,-34.78,D
905866.0,0.38,0.94,9.57,0.02,0.04,0.01,-36.43,29.68,-32.38,D
905879.0,0.29,0.86,9.54,-0.04,0.02,0.01,-36.88,29.38,-34.33,D
905892.0,0.33,0.94,9.62,-0.02,-0.03,-0.06,-38.08,28.93,-33.88,D
905905.0,0.34,0.91,9.69,-0.02,0.06,-0.0,-37.03,29.53,-33.43,D
905917.0,0.35,0.91,9.68,-0.03,-0.01,0.0,-36.13,28.78,-32.98,D
905931.0,0.34,0.83,9.71,0.02,-0.01,0.01,-35.83,29.53,-33.73,D
905944.0,0.44,0.9,9.68,-0.02,0.01,-0.06,-38.08,28.18,-33.88,D
905957.0,0.45,0.91,9.66,-0.03,0.01,-0.04,-35.98,29.38,-33.58,D
905970.0,0.44,0.96,9.69,0.05,-0.02,0.03,-35.23,28.63,-32.38,D
905983.0,0.36,0.92,9.64,0.01,0.0,0.03,-37.03,28.33,-33.73,D
905996.0,0.37,0.94,9.67,0.03,-0.01,-0.05,-35.98,28.63,-35.08,D
906009.0,0.41,0.91,9.64,-0.03,0.05,-0.03,-34.18,29.83,-33.43,D
906022.0,0.43,0.91,9.63,-0.02,0.0,0.0,-37.18,29.38,-33.88,D
906035.0,0.45,0.87,9.7,-0.02,0.01,-0.02,-38.08,28.93,-35.53,D
906048.0,0.41,0.9,9.68,0.03,-0.01,0.0,-36.88,29.38,-33.13,D
906061.0,0.45,0.88,9.7,0.05,-0.04,0.06,-35.83,29.08,-33.73,D
906074.0,0.52,0.95,9.63,0.02,-0.01,-0.0,-35.83,29.08,-33.73,D
906087.0,0.4,0.93,9.61,0.0,0.03,-0.0,-36.43,28.93,-33.58,D
906100.0,0.38,0.89,9.6,-0.02,0.02,-0.07,-35.98,29.68,-32.83,D
906113.0,0.34,0.92,9.67,0.03,-0.01,0.05,-35.98,29.68,-32.83,D
906125.0,0.38,0.93,9.64,0.02,-0.07,0.03,-35.53,28.93,-34.33,D
906139.0,0.43,0.96,9.66,-0.04,0.05,-0.01,-35.98,28.93,-33.58,D
906152.0,0.4,0.95,9.68,-0.0,-0.0,0.01,-38.23,29.08,-33.73,D
906165.0,0.46,0.93,9.74,0.01,0.02,0.04,-38.23,29.08,-33.73,D
906178.0,0.48,0.92,9.71,0.03,-0.07,0.0,-37.78,29.08,-34.48,D
906191.0,0.46,0.96,9.72,0.05,-0.0,0.02,-36.13,29.53,-32.98,D
906204.0,0.52,0.95,9.72,0.06,-0.0,-0.0,-36.13,29.53,-32.98,D
906217.0,0.42,0.96,9.64,-0.04,0.05,-0.04,-36.13,27.58,-33.43,D
906230.0,0.41,0.93,9.65,0.0,0.03,-0.02,-36.58,28.03,-33.73,D
906243.0,0.33,0.93,9.64,-0.0,0.0,-0.01,-36.58,29.83,-34.18,D
906256.0,0.45,0.87,9.63,0.04,-0.02,0.03,-36.58,29.83,-34.18,D
906269.0,0.32,0.94,9.61,0.04,0.09,0.0,-36.58,28.78,-34.18,D
906282.0,0.36,1.0,9.58,-0.01,0.04,-0.01,-36.58,28.78,-33.43,D
906295.0,0.32,0.97,9.6,0.07,-0.02,0.0,-36.58,28.78,-33.43,D
906308.0,0.35,0.9,9.52,0.03,0.02,0.03,-37.03,30.28,-34.18,D
906321.0,0.4,0.92,9.59,0.01,-0.0,0.01,-36.43,30.13,-33.88,D
906333.0,0.47,0.88,9.56,0.01,-0.0,0.01,-37.48,28.33,-32.23,D
906347.0,0.39,0.85,9.58,-0.04,0.01,-0.04,-36.88,30.43,-32.83,D
906360.0,0.4,0.91,9.63,-0.01,-0.06,-0.02,-37.48,29.83,-34.18,D
906373.0,0.43,0.98,9.63,0.0,-0.04,-0.04,-36.88,28.63,-32.38,D
906386.0,0.43,0.94,9.74,0.01,-0.03,0.06,-35.83,28.03,-32.98,D
906399.0,0.48,0.92,9.69,0.03,-0.03,-0.03,-37.18,28.93,-34.33,D
906412.0,0.4,0.96,9.69,0.04,-0.01,-0.02,-36.88,28.93,-33.58,D
906425.0,0.41,1.0,9.68,-0.01,-0.01,-0.06,-35.83,28.78,-33.73,D
906438.0,0.37,0.99,9.73,0.02,-0.01,-0.05,-38.23,28.33,-33.43,D
906451.0,0.43,0.97,9.67,0.02,-0.02,0.01,-37.78,29.53,-33.73,D
906464.0,0.43,1.07,9.66,-0.0,0.02,0.03,-38.08,29.38,-33.88,D
906477.0,0.4,0.96,9.67,0.0,-0.02,-0.02,-36.43,29.38,-33.58,D
906490.0,0.42,0.95,9.65,0.02,0.0,0.0,-38.53,29.68,-33.58,D
906503.0,0.41,0.97,9.68,0.04,-0.04,0.03,-36.58,29.83,-33.73,D
906516.0,0.37,0.93,9.69,0.01,-0.02,0.06,-36.13,28.78,-33.43,D
