t,ax,ay,az,gx,gy,gz,mx,my,mz,label,gyro svd,gyro svd reversed,gyro svd reversed abs,gyro svd abs
992303.0,-0.14,1.6,9.74,-0.01,-0.04,0.02,-35.23,28.63,-33.58,N,0.018196477062203884,-0.09163280352399363,0.09163280352399363,0.018196477062203884
992316.0,-0.17,1.63,9.8,0.0,0.03,-0.01,-34.93,28.78,-33.73,N,-0.015449775529158036,0.08004836647544798,0.08004836647544798,0.015449775529158036
992329.0,-0.16,1.58,9.74,-0.01,0.04,-0.03,-33.28,28.78,-35.23,N,-0.03312970169434078,0.06686940604611206,0.06686940604611206,0.03312970169434078
992342.0,-0.18,1.56,9.68,0.03,-0.01,-0.01,-32.98,29.08,-33.73,N,-0.020652906490094262,0.018196477062203884,0.018196477062203884,0.020652906490094262
992355.0,-0.26,1.56,9.6,0.01,-0.03,0.02,-35.98,27.43,-34.78,N,0.013569435177395433,-0.03794656413314693,0.03794656413314693,0.013569435177395433
992368.0,-0.24,1.55,9.61,0.01,-0.01,0.07,-35.98,27.43,-34.78,N,0.06173664690434655,0.01022064759380418,0.01022064759380418,0.06173664690434655
992381.0,-0.19,1.57,9.59,-0.03,0.01,0.01,-33.88,28.18,-33.58,N,0.011168337702682243,-0.026031190515648422,0.026031190515648422,0.011168337702682243
992394.0,-0.19,1.48,9.57,0.02,0.04,0.02,-35.23,28.18,-32.38,N,0.009202585665755407,0.06781709615499013,0.06781709615499013,0.009202585665755407
992407.0,-0.2,1.55,9.6,0.03,-0.01,0.06,-35.23,28.18,-32.38,N,0.047665700695923484,0.06078895679546849,0.06078895679546849,0.047665700695923484
992420.0,-0.14,1.56,9.56,-0.02,0.01,-0.02,-33.88,28.18,-32.83,N,-0.0202666379679642,0.027514305236856853,0.027514305236856853,0.0202666379679642
992433.0,-0.15,1.64,9.52,-0.0,0.06,-0.02,-36.43,28.93,-34.33,N,-0.026157266664610063,0.059581074313422,0.059581074313422,0.026157266664610063
992446.0,-0.19,1.6,9.48,-0.02,0.0,-0.08,-35.23,28.63,-33.88,N,-0.07850954742444864,0.040637561336401846,0.040637561336401846,0.07850954742444864
992458.0,-0.26,1.58,9.54,-0.04,0.05,-0.02,-34.18,27.58,-34.18,N,-0.01721907959795252,0.04367045221703374,0.04367045221703374,0.01721907959795252
992472.0,-0.17,1.46,9.57,0.01,-0.02,-0.01,-34.18,29.53,-34.48,N,-0.016025864605285812,-0.008983057756384394,0.008983057756384394,0.016025864605285812
992485.0,-0.15,1.42,9.52,0.02,-0.05,0.05,-35.98,27.43,-33.58,N,0.04132505907211149,0.01414552425352321,0.01414552425352321,0.04132505907211149
992498.0,-0.14,1.45,9.54,0.05,0.01,0.03,-35.98,27.43,-33.58,N,0.013443359028433789,0.01503751003261034,0.01503751003261034,0.013443359028433789
992511.0,-0.14,1.46,9.62,0.01,0.01,-0.04,-33.88,29.38,-33.13,N,-0.04625295779388577,-0.0005572153608185585,0.0005572153608185585,0.04625295779388577
992524.0,-0.15,1.47,9.58,0.01,0.01,-0.04,-35.38,27.28,-34.18,N,-0.04625295779388577,0.00710271740462179,0.00710271740462179,0.04625295779388577
992537.0,-0.15,1.49,9.6,-0.03,0.01,-0.02,-35.38,27.28,-34.18,N,-0.018111065377039652,0.0503269905438051,0.0503269905438051,0.018111065377039652
992550.0,-0.22,1.47,9.56,0.02,-0.0,0.03,-34.33,28.18,-33.88,N,0.020225973504166786,0.01591482832231769,0.01591482832231769,0.020225973504166786
992563.0,-0.28,1.48,9.51,0.02,-0.01,0.02,-35.53,27.73,-33.88,N,0.010782069180552177,-0.0030286846547024596,0.0030286846547024596,0.010782069180552177
992576.0,-0.3,1.55,9.56,-0.04,-0.02,-0.07,-34.33,28.63,-34.78,N,-0.06380680781010688,0.05584601820770068,0.05584601820770068,0.06380680781010688
992589.0,-0.26,1.54,9.49,0.01,-0.02,0.04,-34.33,28.63,-34.78,N,0.03277314052758401,0.11535251447602253,0.11535251447602253,0.03277314052758401
992602.0,-0.23,1.56,9.5,-0.01,-0.01,0.01,-34.33,28.63,-34.33,N,0.007488985926751856,0.09621918094500467,0.09621918094500467,0.007488985926751856
992615.0,-0.24,1.53,9.61,0.01,-0.0,0.04,-34.78,28.18,-34.33,N,0.032141347121665303,0.06078895679546849,0.06078895679546849,0.032141347121665303
992628.0,-0.23,1.44,9.66,-0.03,-0.02,-0.06,-34.78,28.18,-34.33,N,-0.05620257937445745,0.11605467970111194,0.11605467970111194,0.05620257937445745
992641.0,-0.15,1.46,9.68,-0.01,0.01,0.03,-34.33,28.63,-33.13,N,0.026376794573981076,0.1333483373441646,0.1333483373441646,0.026376794573981076
992654.0,-0.13,1.46,9.59,0.01,0.02,0.0,-34.18,28.03,-32.98,N,-0.007529650390549266,0.12213512895175553,0.12213512895175553,0.007529650390549266
992666.0,-0.16,1.44,9.64,-0.05,0.01,0.04,-36.43,27.73,-34.78,N,0.04475888596425324,0.18892995695276743,0.18892995695276743,0.04475888596425324
992680.0,-0.15,1.45,9.63,0.01,-0.05,0.07,-35.23,28.63,-35.08,N,0.06300023371618396,0.12436107336185077,0.12436107336185077,0.06300023371618396
992693.0,-0.13,1.47,9.64,0.01,-0.05,0.05,-35.23,28.18,-34.33,N,0.043480631663036035,0.16340027746814664,0.16340027746814664,0.043480631663036035
992706.0,-0.17,1.47,9.71,0.04,-0.02,0.04,-34.78,28.18,-34.33,N,0.026306422754810366,0.19604313562083955,0.19604313562083955,0.026306422754810366
992719.0,-0.17,1.56,9.67,-0.05,0.02,0.01,-35.23,29.38,-33.58,N,0.015163586181571983,0.19243415566407987,0.19243415566407987,0.015163586181571983
992732.0,-0.22,1.62,9.63,0.01,-0.01,0.01,-35.53,28.93,-33.88,N,0.0031778407449027605,0.21074587523518135,0.21074587523518135,0.0031778407449027605
992745.0,-0.22,1.63,9.63,0.02,-0.01,-0.02,-34.78,28.63,-33.88,N,-0.02825713492574368,0.20624490949933452,0.20624490949933452,0.02825713492574368
992758.0,-0.2,1.58,9.63,-0.01,0.0,0.05,-34.78,27.73,-33.88,N,0.04621229333008836,0.16955109853796094,0.16955109853796094,0.04621229333008836
992771.0,-0.11,1.5,9.63,0.01,0.04,-0.06,-32.98,28.78,-34.18,N,-0.06672024995591176,0.2485771968594307,0.2485771968594307,0.06672024995591176
992784.0,-0.18,1.52,9.54,0.03,0.05,0.03,-33.73,27.28,-33.73,N,0.01649091739844547,0.1680273193529551,0.1680273193529551,0.01649091739844547
992797.0,-0.19,1.53,9.63,0.02,-0.0,0.04,-35.23,28.63,-33.88,N,0.029985774530740757,0.17195219601267414,0.17195219601267414,0.029985774530740757
992810.0,-0.19,1.43,9.61,0.03,0.02,0.02,-35.98,28.63,-34.33,N,0.007678806480749567,0.12385535610489372,0.12385535610489372,0.007678806480749567
992823.0,-0.17,1.28,9.55,0.03,-0.01,-0.0,-33.88,28.18,-34.78,N,-0.010893105463520299,0.1768247627812712,0.1768247627812712,0.010893105463520299
992836.0,-0.06,1.12,9.78,-0.04,0.05,-0.0,-34.78,27.43,-33.88,N,0.0023005224551954097,0.12099761828887974,0.12099761828887974,0.0023005224551954097
992849.0,0.03,0.38,9.97,-0.03,0.07,0.05,-34.78,27.43,-33.88,N,0.04831216159122197,0.10882205229821282,0.10882205229821282,0.04831216159122197
992862.0,0.04,-0.42,10.36,0.01,0.06,0.16,-34.63,27.58,-33.73,L,0.14736357922279675,0.04873946695376319,0.04873946695376319,0.14736357922279675
992875.0,0.09,-1.57,10.96,-0.02,0.05,0.32,-36.13,28.03,-34.93,L,0.3103030101237132,-0.09981312103577084,0.09981312103577084,0.3103030101237132
992888.0,0.29,-2.98,11.19,0.06,0.04,0.62,-34.93,28.33,-32.53,L,0.586168356896495,-0.22351689986225903,0.22351689986225903,0.586168356896495
992901.0,0.29,-3.46,11.45,0.29,0.11,0.83,-35.38,29.53,-33.43,L,0.7393347319425683,-0.40718381529836983,0.40718381529836983,0.7393347319425683
992914.0,0.23,-3.28,11.09,0.47,0.16,1.14,-35.38,28.78,-32.98,L,1.0015087736149224,-0.5897622969872612,0.5897622969872612,1.0015087736149224
