t,ax,ay,az,gx,gy,gz,mx,my,mz,label,gyro svd,gyro svd reversed,gyro svd reversed abs,gyro svd abs
914355.0,0.85,1.78,9.41,0.02,-0.05,-0.01,-41.07,24.88,-31.78,N,-0.049152978843734506,0.010118640576617474,0.010118640576617474,0.049152978843734506
914368.0,0.78,1.77,9.31,0.04,-0.02,-0.03,-38.83,25.18,-32.83,N,-0.020746901366135103,0.04205391787265913,0.04205391787265913,0.020746901366135103
914381.0,0.79,1.81,9.41,-0.03,0.06,-0.05,-39.72,25.18,-31.63,N,0.07281004559390934,0.029544394805248172,0.029544394805248172,0.07281004559390934
914394.0,0.81,1.7,9.39,-0.07,0.02,-0.02,-38.83,24.73,-32.38,N,0.03689990405704977,-0.006202556686426956,0.006202556686426956,0.03689990405704977
914407.0,0.73,1.63,9.39,-0.06,0.05,-0.02,-38.83,24.73,-32.38,N,0.06422161094363424,0.017851403189386803,0.017851403189386803,0.06422161094363424
914420.0,0.75,1.64,9.42,-0.0,0.02,-0.0,-40.32,25.63,-31.03,N,0.021104514962431632,0.00463476289192864,0.00463476289192864,0.021104514962431632
914433.0,0.73,1.72,9.45,0.01,-0.03,0.04,-38.83,26.68,-31.63,N,-0.03518183182434089,-0.026694562489636114,0.026694562489636114,0.03518183182434089
914446.0,0.79,1.72,9.49,-0.0,0.06,0.05,-39.87,25.63,-30.28,N,0.052677174135231424,-0.07476972798710127,0.07476972798710127,0.052677174135231424
914458.0,0.79,1.75,9.52,-0.05,0.02,-0.02,-39.13,24.58,-32.23,N,0.03322214943114897,-0.0797277975033638,0.0797277975033638,0.03322214943114897
914472.0,0.92,1.84,9.49,-0.0,-0.03,0.03,-39.28,24.43,-33.13,N,-0.03188133055940782,-0.13860752832502218,0.13860752832502218,0.03188133055940782
914485.0,0.87,1.87,9.57,0.01,0.0,0.04,-37.63,25.18,-31.63,N,-0.0060212476248060285,-0.08854493070714808,0.08854493070714808,0.0060212476248060285
914498.0,0.85,1.79,9.58,-0.02,-0.02,0.04,-38.53,25.48,-31.63,N,-0.01994500515231141,-0.05660965341110643,0.05660965341110643,0.01994500515231141
914511.0,0.91,1.8,9.61,-0.03,0.03,0.03,-38.83,26.23,-31.63,N,0.0319564697785131,-0.10450350984695066,0.10450350984695066,0.0319564697785131
914524.0,0.91,1.75,9.59,-0.01,-0.01,-0.01,-39.72,24.43,-32.83,N,-0.004755567972170161,-0.09199398677953971,0.09199398677953971,0.004755567972170161
914537.0,0.88,1.8,9.6,-0.03,0.05,-0.01,-39.28,25.18,-31.18,N,0.05724335505280037,-0.12667120291792577,0.12667120291792577,0.05724335505280037
914550.0,0.93,1.77,9.57,0.04,-0.01,0.01,-39.28,25.18,-32.83,N,-0.0168732024408875,-0.036658091014049446,0.036658091014049446,0.0168732024408875
914563.0,0.93,1.81,9.51,0.02,0.04,0.04,-37.78,25.63,-30.28,N,0.031020653994956727,-0.0478399096992104,0.0478399096992104,0.031020653994956727
914576.0,0.84,1.9,9.52,0.03,-0.01,0.02,-38.83,25.18,-31.18,N,-0.01649594907991977,-0.07844748261300206,0.07844748261300206,0.01649594907991977
914589.0,0.79,1.89,9.49,-0.05,0.01,0.01,-39.42,25.63,-31.78,N,0.01911708284202267,-0.03588894905438811,0.03588894905438811,0.01911708284202267
914602.0,0.9,1.93,9.58,-0.03,0.03,0.01,-38.08,24.73,-33.58,N,0.034879717682478446,-0.02380406883983313,0.02380406883983313,0.034879717682478446
914615.0,0.86,1.79,9.57,0.04,0.0,0.0,-38.08,26.23,-31.63,N,-0.005691383755726542,0.08146050497379856,0.08146050497379856,0.005691383755726542
914628.0,0.87,1.84,9.57,0.0,0.0,0.01,-38.23,25.33,-30.28,N,0.00020250154409238495,0.17148825211540078,0.17148825211540078,0.00020250154409238495
